"sample_size","Variables","Population_Parameter_Values","Sample_Statistic_Values","Absolute_Difference"
6038,"Proportion Male:",0.435,0.417,0.018
6038,"Mean Age:",19.508,19.509,0.001
6038,"Mean Weight:",162.157,160.812,1.345
6038,"Mean Height:",67.187,67.145,0.042
6038,"Mean Number of Classes:",3.481,3.461,0.02
6039,"Proportion Male:",0.435,0.417,0.018
6039,"Mean Age:",19.508,19.509,0.001
6039,"Mean Weight:",162.157,160.814,1.343
6039,"Mean Height:",67.187,67.145,0.042
6039,"Mean Number of Classes:",3.481,3.461,0.02
6040,"Proportion Male:",0.435,0.417,0.018
6040,"Mean Age:",19.508,19.509,0.001
6040,"Mean Weight:",162.157,160.814,1.343
6040,"Mean Height:",67.187,67.144,0.043
6040,"Mean Number of Classes:",3.481,3.461,0.02
6041,"Proportion Male:",0.435,0.417,0.018
6041,"Mean Age:",19.508,19.509,0.001
6041,"Mean Weight:",162.157,160.829,1.328
6041,"Mean Height:",67.187,67.145,0.042
6041,"Mean Number of Classes:",3.481,3.461,0.02
6042,"Proportion Male:",0.435,0.417,0.018
6042,"Mean Age:",19.508,19.509,0.001
6042,"Mean Weight:",162.157,160.827,1.33
6042,"Mean Height:",67.187,67.146,0.041
6042,"Mean Number of Classes:",3.481,3.461,0.02
6043,"Proportion Male:",0.435,0.417,0.018
6043,"Mean Age:",19.508,19.509,0.001
6043,"Mean Weight:",162.157,160.817,1.34
6043,"Mean Height:",67.187,67.146,0.041
6043,"Mean Number of Classes:",3.481,3.461,0.02
6044,"Proportion Male:",0.435,0.417,0.018
6044,"Mean Age:",19.508,19.509,0.001
6044,"Mean Weight:",162.157,160.818,1.339
6044,"Mean Height:",67.187,67.145,0.042
6044,"Mean Number of Classes:",3.481,3.461,0.02
6045,"Proportion Male:",0.435,0.417,0.018
6045,"Mean Age:",19.508,19.509,0.001
6045,"Mean Weight:",162.157,160.825,1.332
6045,"Mean Height:",67.187,67.147,0.04
6045,"Mean Number of Classes:",3.481,3.461,0.02
6046,"Proportion Male:",0.435,0.417,0.018
6046,"Mean Age:",19.508,19.509,0.001
6046,"Mean Weight:",162.157,160.823,1.334
6046,"Mean Height:",67.187,67.147,0.04
6046,"Mean Number of Classes:",3.481,3.461,0.02
6047,"Proportion Male:",0.435,0.417,0.018
6047,"Mean Age:",19.508,19.51,0.002
6047,"Mean Weight:",162.157,160.82,1.337
6047,"Mean Height:",67.187,67.146,0.041
6047,"Mean Number of Classes:",3.481,3.461,0.02
6048,"Proportion Male:",0.435,0.417,0.018
6048,"Mean Age:",19.508,19.509,0.001
6048,"Mean Weight:",162.157,160.82,1.337
6048,"Mean Height:",67.187,67.148,0.039
6048,"Mean Number of Classes:",3.481,3.46,0.021
6049,"Proportion Male:",0.435,0.417,0.018
6049,"Mean Age:",19.508,19.509,0.001
6049,"Mean Weight:",162.157,160.814,1.343
6049,"Mean Height:",67.187,67.147,0.04
6049,"Mean Number of Classes:",3.481,3.46,0.021
6050,"Proportion Male:",0.435,0.418,0.017
6050,"Mean Age:",19.508,19.509,0.001
6050,"Mean Weight:",162.157,160.818,1.339
6050,"Mean Height:",67.187,67.149,0.038
6050,"Mean Number of Classes:",3.481,3.46,0.021
6051,"Proportion Male:",0.435,0.418,0.017
6051,"Mean Age:",19.508,19.51,0.002
6051,"Mean Weight:",162.157,160.818,1.339
6051,"Mean Height:",67.187,67.148,0.039
6051,"Mean Number of Classes:",3.481,3.461,0.02
6052,"Proportion Male:",0.435,0.418,0.017
6052,"Mean Age:",19.508,19.51,0.002
6052,"Mean Weight:",162.157,160.812,1.345
6052,"Mean Height:",67.187,67.148,0.039
6052,"Mean Number of Classes:",3.481,3.461,0.02
6053,"Proportion Male:",0.435,0.417,0.018
6053,"Mean Age:",19.508,19.51,0.002
6053,"Mean Weight:",162.157,160.813,1.344
6053,"Mean Height:",67.187,67.148,0.039
6053,"Mean Number of Classes:",3.481,3.461,0.02
6054,"Proportion Male:",0.435,0.418,0.017
6054,"Mean Age:",19.508,19.51,0.002
6054,"Mean Weight:",162.157,160.816,1.341
6054,"Mean Height:",67.187,67.149,0.038
6054,"Mean Number of Classes:",3.481,3.461,0.02
6055,"Proportion Male:",0.435,0.418,0.017
6055,"Mean Age:",19.508,19.509,0.001
6055,"Mean Weight:",162.157,160.809,1.348
6055,"Mean Height:",67.187,67.15,0.037
6055,"Mean Number of Classes:",3.481,3.461,0.02
6056,"Proportion Male:",0.435,0.418,0.017
6056,"Mean Age:",19.508,19.51,0.002
6056,"Mean Weight:",162.157,160.806,1.351
6056,"Mean Height:",67.187,67.15,0.037
6056,"Mean Number of Classes:",3.481,3.461,0.02
6057,"Proportion Male:",0.435,0.418,0.017
6057,"Mean Age:",19.508,19.51,0.002
6057,"Mean Weight:",162.157,160.802,1.355
6057,"Mean Height:",67.187,67.15,0.037
6057,"Mean Number of Classes:",3.481,3.461,0.02
6058,"Proportion Male:",0.435,0.418,0.017
6058,"Mean Age:",19.508,19.51,0.002
6058,"Mean Weight:",162.157,160.795,1.362
6058,"Mean Height:",67.187,67.15,0.037
6058,"Mean Number of Classes:",3.481,3.461,0.02
6059,"Proportion Male:",0.435,0.418,0.017
6059,"Mean Age:",19.508,19.509,0.001
6059,"Mean Weight:",162.157,160.796,1.361
6059,"Mean Height:",67.187,67.151,0.036
6059,"Mean Number of Classes:",3.481,3.461,0.02
6060,"Proportion Male:",0.435,0.418,0.017
6060,"Mean Age:",19.508,19.51,0.002
6060,"Mean Weight:",162.157,160.803,1.354
6060,"Mean Height:",67.187,67.153,0.034
6060,"Mean Number of Classes:",3.481,3.461,0.02
6061,"Proportion Male:",0.435,0.418,0.017
6061,"Mean Age:",19.508,19.509,0.001
6061,"Mean Weight:",162.157,160.803,1.354
6061,"Mean Height:",67.187,67.153,0.034
6061,"Mean Number of Classes:",3.481,3.462,0.019
6062,"Proportion Male:",0.435,0.418,0.017
6062,"Mean Age:",19.508,19.509,0.001
6062,"Mean Weight:",162.157,160.81,1.347
6062,"Mean Height:",67.187,67.154,0.033
6062,"Mean Number of Classes:",3.481,3.461,0.02
6063,"Proportion Male:",0.435,0.418,0.017
6063,"Mean Age:",19.508,19.509,0.001
6063,"Mean Weight:",162.157,160.814,1.343
6063,"Mean Height:",67.187,67.154,0.033
6063,"Mean Number of Classes:",3.481,3.462,0.019
6064,"Proportion Male:",0.435,0.418,0.017
6064,"Mean Age:",19.508,19.51,0.002
6064,"Mean Weight:",162.157,160.818,1.339
6064,"Mean Height:",67.187,67.155,0.032
6064,"Mean Number of Classes:",3.481,3.462,0.019
6065,"Proportion Male:",0.435,0.418,0.017
6065,"Mean Age:",19.508,19.509,0.001
6065,"Mean Weight:",162.157,160.813,1.344
6065,"Mean Height:",67.187,67.154,0.033
6065,"Mean Number of Classes:",3.481,3.462,0.019
6066,"Proportion Male:",0.435,0.418,0.017
6066,"Mean Age:",19.508,19.509,0.001
6066,"Mean Weight:",162.157,160.804,1.353
6066,"Mean Height:",67.187,67.154,0.033
6066,"Mean Number of Classes:",3.481,3.462,0.019
6067,"Proportion Male:",0.435,0.418,0.017
6067,"Mean Age:",19.508,19.509,0.001
6067,"Mean Weight:",162.157,160.799,1.358
6067,"Mean Height:",67.187,67.153,0.034
6067,"Mean Number of Classes:",3.481,3.463,0.018
6068,"Proportion Male:",0.435,0.418,0.017
6068,"Mean Age:",19.508,19.509,0.001
6068,"Mean Weight:",162.157,160.801,1.356
6068,"Mean Height:",67.187,67.153,0.034
6068,"Mean Number of Classes:",3.481,3.462,0.019
6069,"Proportion Male:",0.435,0.418,0.017
6069,"Mean Age:",19.508,19.508,0
6069,"Mean Weight:",162.157,160.801,1.356
6069,"Mean Height:",67.187,67.152,0.035
6069,"Mean Number of Classes:",3.481,3.462,0.019
6070,"Proportion Male:",0.435,0.418,0.017
6070,"Mean Age:",19.508,19.509,0.001
6070,"Mean Weight:",162.157,160.806,1.351
6070,"Mean Height:",67.187,67.151,0.036
6070,"Mean Number of Classes:",3.481,3.462,0.019
6071,"Proportion Male:",0.435,0.418,0.017
6071,"Mean Age:",19.508,19.509,0.001
6071,"Mean Weight:",162.157,160.807,1.35
6071,"Mean Height:",67.187,67.151,0.036
6071,"Mean Number of Classes:",3.481,3.462,0.019
6072,"Proportion Male:",0.435,0.418,0.017
6072,"Mean Age:",19.508,19.508,0
6072,"Mean Weight:",162.157,160.804,1.353
6072,"Mean Height:",67.187,67.151,0.036
6072,"Mean Number of Classes:",3.481,3.462,0.019
6073,"Proportion Male:",0.435,0.418,0.017
6073,"Mean Age:",19.508,19.509,0.001
6073,"Mean Weight:",162.157,160.804,1.353
6073,"Mean Height:",67.187,67.151,0.036
6073,"Mean Number of Classes:",3.481,3.463,0.018
6074,"Proportion Male:",0.435,0.418,0.017
6074,"Mean Age:",19.508,19.508,0
6074,"Mean Weight:",162.157,160.815,1.342
6074,"Mean Height:",67.187,67.151,0.036
6074,"Mean Number of Classes:",3.481,3.463,0.018
6075,"Proportion Male:",0.435,0.418,0.017
6075,"Mean Age:",19.508,19.508,0
6075,"Mean Weight:",162.157,160.824,1.333
6075,"Mean Height:",67.187,67.151,0.036
6075,"Mean Number of Classes:",3.481,3.463,0.018
6076,"Proportion Male:",0.435,0.418,0.017
6076,"Mean Age:",19.508,19.508,0
6076,"Mean Weight:",162.157,160.821,1.336
6076,"Mean Height:",67.187,67.15,0.037
6076,"Mean Number of Classes:",3.481,3.463,0.018
6077,"Proportion Male:",0.435,0.418,0.017
6077,"Mean Age:",19.508,19.508,0
6077,"Mean Weight:",162.157,160.821,1.336
6077,"Mean Height:",67.187,67.15,0.037
6077,"Mean Number of Classes:",3.481,3.463,0.018
6078,"Proportion Male:",0.435,0.418,0.017
6078,"Mean Age:",19.508,19.508,0
6078,"Mean Weight:",162.157,160.838,1.319
6078,"Mean Height:",67.187,67.151,0.036
6078,"Mean Number of Classes:",3.481,3.463,0.018
6079,"Proportion Male:",0.435,0.418,0.017
6079,"Mean Age:",19.508,19.508,0
6079,"Mean Weight:",162.157,160.85,1.307
6079,"Mean Height:",67.187,67.152,0.035
6079,"Mean Number of Classes:",3.481,3.463,0.018
6080,"Proportion Male:",0.435,0.418,0.017
6080,"Mean Age:",19.508,19.508,0
6080,"Mean Weight:",162.157,160.847,1.31
6080,"Mean Height:",67.187,67.151,0.036
6080,"Mean Number of Classes:",3.481,3.462,0.019
6081,"Proportion Male:",0.435,0.418,0.017
6081,"Mean Age:",19.508,19.508,0
6081,"Mean Weight:",162.157,160.839,1.318
6081,"Mean Height:",67.187,67.152,0.035
6081,"Mean Number of Classes:",3.481,3.462,0.019
6082,"Proportion Male:",0.435,0.418,0.017
6082,"Mean Age:",19.508,19.508,0
6082,"Mean Weight:",162.157,160.838,1.319
6082,"Mean Height:",67.187,67.152,0.035
6082,"Mean Number of Classes:",3.481,3.463,0.018
6083,"Proportion Male:",0.435,0.418,0.017
6083,"Mean Age:",19.508,19.507,0.001
6083,"Mean Weight:",162.157,160.859,1.298
6083,"Mean Height:",67.187,67.152,0.035
6083,"Mean Number of Classes:",3.481,3.462,0.019
6084,"Proportion Male:",0.435,0.418,0.017
6084,"Mean Age:",19.508,19.507,0.001
6084,"Mean Weight:",162.157,160.869,1.288
6084,"Mean Height:",67.187,67.152,0.035
6084,"Mean Number of Classes:",3.481,3.462,0.019
6085,"Proportion Male:",0.435,0.418,0.017
6085,"Mean Age:",19.508,19.507,0.001
6085,"Mean Weight:",162.157,160.872,1.285
6085,"Mean Height:",67.187,67.153,0.034
6085,"Mean Number of Classes:",3.481,3.462,0.019
6086,"Proportion Male:",0.435,0.418,0.017
6086,"Mean Age:",19.508,19.508,0
6086,"Mean Weight:",162.157,160.879,1.278
6086,"Mean Height:",67.187,67.154,0.033
6086,"Mean Number of Classes:",3.481,3.463,0.018
6087,"Proportion Male:",0.435,0.418,0.017
6087,"Mean Age:",19.508,19.507,0.001
6087,"Mean Weight:",162.157,160.888,1.269
6087,"Mean Height:",67.187,67.155,0.032
6087,"Mean Number of Classes:",3.481,3.463,0.018
6088,"Proportion Male:",0.435,0.418,0.017
6088,"Mean Age:",19.508,19.507,0.001
6088,"Mean Weight:",162.157,160.882,1.275
6088,"Mean Height:",67.187,67.155,0.032
6088,"Mean Number of Classes:",3.481,3.462,0.019
6089,"Proportion Male:",0.435,0.418,0.017
6089,"Mean Age:",19.508,19.508,0
6089,"Mean Weight:",162.157,160.882,1.275
6089,"Mean Height:",67.187,67.155,0.032
6089,"Mean Number of Classes:",3.481,3.463,0.018
6090,"Proportion Male:",0.435,0.418,0.017
6090,"Mean Age:",19.508,19.508,0
6090,"Mean Weight:",162.157,160.882,1.275
6090,"Mean Height:",67.187,67.154,0.033
6090,"Mean Number of Classes:",3.481,3.463,0.018
6091,"Proportion Male:",0.435,0.418,0.017
6091,"Mean Age:",19.508,19.508,0
6091,"Mean Weight:",162.157,160.886,1.271
6091,"Mean Height:",67.187,67.153,0.034
6091,"Mean Number of Classes:",3.481,3.463,0.018
6092,"Proportion Male:",0.435,0.418,0.017
6092,"Mean Age:",19.508,19.508,0
6092,"Mean Weight:",162.157,160.881,1.276
6092,"Mean Height:",67.187,67.153,0.034
6092,"Mean Number of Classes:",3.481,3.464,0.017
6093,"Proportion Male:",0.435,0.418,0.017
6093,"Mean Age:",19.508,19.508,0
6093,"Mean Weight:",162.157,160.884,1.273
6093,"Mean Height:",67.187,67.153,0.034
6093,"Mean Number of Classes:",3.481,3.464,0.017
6094,"Proportion Male:",0.435,0.418,0.017
6094,"Mean Age:",19.508,19.508,0
6094,"Mean Weight:",162.157,160.884,1.273
6094,"Mean Height:",67.187,67.152,0.035
6094,"Mean Number of Classes:",3.481,3.464,0.017
6095,"Proportion Male:",0.435,0.418,0.017
6095,"Mean Age:",19.508,19.508,0
6095,"Mean Weight:",162.157,160.886,1.271
6095,"Mean Height:",67.187,67.152,0.035
6095,"Mean Number of Classes:",3.481,3.464,0.017
6096,"Proportion Male:",0.435,0.418,0.017
6096,"Mean Age:",19.508,19.508,0
6096,"Mean Weight:",162.157,160.893,1.264
6096,"Mean Height:",67.187,67.154,0.033
6096,"Mean Number of Classes:",3.481,3.464,0.017
6097,"Proportion Male:",0.435,0.418,0.017
6097,"Mean Age:",19.508,19.508,0
6097,"Mean Weight:",162.157,160.903,1.254
6097,"Mean Height:",67.187,67.154,0.033
6097,"Mean Number of Classes:",3.481,3.464,0.017
6098,"Proportion Male:",0.435,0.418,0.017
6098,"Mean Age:",19.508,19.508,0
6098,"Mean Weight:",162.157,160.895,1.262
6098,"Mean Height:",67.187,67.153,0.034
6098,"Mean Number of Classes:",3.481,3.464,0.017
6099,"Proportion Male:",0.435,0.418,0.017
6099,"Mean Age:",19.508,19.508,0
6099,"Mean Weight:",162.157,160.886,1.271
6099,"Mean Height:",67.187,67.152,0.035
6099,"Mean Number of Classes:",3.481,3.464,0.017
6100,"Proportion Male:",0.435,0.418,0.017
6100,"Mean Age:",19.508,19.508,0
6100,"Mean Weight:",162.157,160.899,1.258
6100,"Mean Height:",67.187,67.153,0.034
6100,"Mean Number of Classes:",3.481,3.464,0.017
6101,"Proportion Male:",0.435,0.418,0.017
6101,"Mean Age:",19.508,19.508,0
6101,"Mean Weight:",162.157,160.889,1.268
6101,"Mean Height:",67.187,67.153,0.034
6101,"Mean Number of Classes:",3.481,3.464,0.017
6102,"Proportion Male:",0.435,0.418,0.017
6102,"Mean Age:",19.508,19.508,0
6102,"Mean Weight:",162.157,160.89,1.267
6102,"Mean Height:",67.187,67.153,0.034
6102,"Mean Number of Classes:",3.481,3.464,0.017
6103,"Proportion Male:",0.435,0.418,0.017
6103,"Mean Age:",19.508,19.508,0
6103,"Mean Weight:",162.157,160.882,1.275
6103,"Mean Height:",67.187,67.153,0.034
6103,"Mean Number of Classes:",3.481,3.464,0.017
6104,"Proportion Male:",0.435,0.418,0.017
6104,"Mean Age:",19.508,19.508,0
6104,"Mean Weight:",162.157,160.889,1.268
6104,"Mean Height:",67.187,67.153,0.034
6104,"Mean Number of Classes:",3.481,3.465,0.016
6105,"Proportion Male:",0.435,0.418,0.017
6105,"Mean Age:",19.508,19.508,0
6105,"Mean Weight:",162.157,160.892,1.265
6105,"Mean Height:",67.187,67.154,0.033
6105,"Mean Number of Classes:",3.481,3.465,0.016
6106,"Proportion Male:",0.435,0.418,0.017
6106,"Mean Age:",19.508,19.508,0
6106,"Mean Weight:",162.157,160.884,1.273
6106,"Mean Height:",67.187,67.153,0.034
6106,"Mean Number of Classes:",3.481,3.465,0.016
6107,"Proportion Male:",0.435,0.418,0.017
6107,"Mean Age:",19.508,19.508,0
6107,"Mean Weight:",162.157,160.881,1.276
6107,"Mean Height:",67.187,67.153,0.034
6107,"Mean Number of Classes:",3.481,3.465,0.016
6108,"Proportion Male:",0.435,0.418,0.017
6108,"Mean Age:",19.508,19.508,0
6108,"Mean Weight:",162.157,160.88,1.277
6108,"Mean Height:",67.187,67.153,0.034
6108,"Mean Number of Classes:",3.481,3.464,0.017
6109,"Proportion Male:",0.435,0.418,0.017
6109,"Mean Age:",19.508,19.508,0
6109,"Mean Weight:",162.157,160.874,1.283
6109,"Mean Height:",67.187,67.151,0.036
6109,"Mean Number of Classes:",3.481,3.464,0.017
6110,"Proportion Male:",0.435,0.418,0.017
6110,"Mean Age:",19.508,19.508,0
6110,"Mean Weight:",162.157,160.884,1.273
6110,"Mean Height:",67.187,67.151,0.036
6110,"Mean Number of Classes:",3.481,3.464,0.017
6111,"Proportion Male:",0.435,0.418,0.017
6111,"Mean Age:",19.508,19.508,0
6111,"Mean Weight:",162.157,160.892,1.265
6111,"Mean Height:",67.187,67.152,0.035
6111,"Mean Number of Classes:",3.481,3.464,0.017
6112,"Proportion Male:",0.435,0.418,0.017
6112,"Mean Age:",19.508,19.509,0.001
6112,"Mean Weight:",162.157,160.904,1.253
6112,"Mean Height:",67.187,67.153,0.034
6112,"Mean Number of Classes:",3.481,3.464,0.017
6113,"Proportion Male:",0.435,0.418,0.017
6113,"Mean Age:",19.508,19.509,0.001
6113,"Mean Weight:",162.157,160.897,1.26
6113,"Mean Height:",67.187,67.152,0.035
6113,"Mean Number of Classes:",3.481,3.464,0.017
6114,"Proportion Male:",0.435,0.418,0.017
6114,"Mean Age:",19.508,19.509,0.001
6114,"Mean Weight:",162.157,160.893,1.264
6114,"Mean Height:",67.187,67.152,0.035
6114,"Mean Number of Classes:",3.481,3.464,0.017
6115,"Proportion Male:",0.435,0.418,0.017
6115,"Mean Age:",19.508,19.509,0.001
6115,"Mean Weight:",162.157,160.891,1.266
6115,"Mean Height:",67.187,67.153,0.034
6115,"Mean Number of Classes:",3.481,3.464,0.017
6116,"Proportion Male:",0.435,0.418,0.017
6116,"Mean Age:",19.508,19.509,0.001
6116,"Mean Weight:",162.157,160.886,1.271
6116,"Mean Height:",67.187,67.152,0.035
6116,"Mean Number of Classes:",3.481,3.464,0.017
6117,"Proportion Male:",0.435,0.418,0.017
6117,"Mean Age:",19.508,19.509,0.001
6117,"Mean Weight:",162.157,160.886,1.271
6117,"Mean Height:",67.187,67.152,0.035
6117,"Mean Number of Classes:",3.481,3.464,0.017
6118,"Proportion Male:",0.435,0.418,0.017
6118,"Mean Age:",19.508,19.509,0.001
6118,"Mean Weight:",162.157,160.904,1.253
6118,"Mean Height:",67.187,67.153,0.034
6118,"Mean Number of Classes:",3.481,3.464,0.017
6119,"Proportion Male:",0.435,0.418,0.017
6119,"Mean Age:",19.508,19.508,0
6119,"Mean Weight:",162.157,160.893,1.264
6119,"Mean Height:",67.187,67.152,0.035
6119,"Mean Number of Classes:",3.481,3.464,0.017
6120,"Proportion Male:",0.435,0.418,0.017
6120,"Mean Age:",19.508,19.508,0
6120,"Mean Weight:",162.157,160.894,1.263
6120,"Mean Height:",67.187,67.153,0.034
6120,"Mean Number of Classes:",3.481,3.464,0.017
6121,"Proportion Male:",0.435,0.418,0.017
6121,"Mean Age:",19.508,19.507,0.001
6121,"Mean Weight:",162.157,160.887,1.27
6121,"Mean Height:",67.187,67.153,0.034
6121,"Mean Number of Classes:",3.481,3.464,0.017
6122,"Proportion Male:",0.435,0.418,0.017
6122,"Mean Age:",19.508,19.508,0
6122,"Mean Weight:",162.157,160.883,1.274
6122,"Mean Height:",67.187,67.153,0.034
6122,"Mean Number of Classes:",3.481,3.464,0.017
6123,"Proportion Male:",0.435,0.418,0.017
6123,"Mean Age:",19.508,19.508,0
6123,"Mean Weight:",162.157,160.872,1.285
6123,"Mean Height:",67.187,67.153,0.034
6123,"Mean Number of Classes:",3.481,3.464,0.017
6124,"Proportion Male:",0.435,0.418,0.017
6124,"Mean Age:",19.508,19.508,0
6124,"Mean Weight:",162.157,160.872,1.285
6124,"Mean Height:",67.187,67.151,0.036
6124,"Mean Number of Classes:",3.481,3.464,0.017
6125,"Proportion Male:",0.435,0.418,0.017
6125,"Mean Age:",19.508,19.509,0.001
6125,"Mean Weight:",162.157,160.873,1.284
6125,"Mean Height:",67.187,67.151,0.036
6125,"Mean Number of Classes:",3.481,3.464,0.017
6126,"Proportion Male:",0.435,0.418,0.017
6126,"Mean Age:",19.508,19.508,0
6126,"Mean Weight:",162.157,160.876,1.281
6126,"Mean Height:",67.187,67.153,0.034
6126,"Mean Number of Classes:",3.481,3.464,0.017
6127,"Proportion Male:",0.435,0.418,0.017
6127,"Mean Age:",19.508,19.508,0
6127,"Mean Weight:",162.157,160.871,1.286
6127,"Mean Height:",67.187,67.153,0.034
6127,"Mean Number of Classes:",3.481,3.464,0.017
6128,"Proportion Male:",0.435,0.418,0.017
6128,"Mean Age:",19.508,19.508,0
6128,"Mean Weight:",162.157,160.868,1.289
6128,"Mean Height:",67.187,67.154,0.033
6128,"Mean Number of Classes:",3.481,3.464,0.017
6129,"Proportion Male:",0.435,0.418,0.017
6129,"Mean Age:",19.508,19.508,0
6129,"Mean Weight:",162.157,160.875,1.282
6129,"Mean Height:",67.187,67.153,0.034
6129,"Mean Number of Classes:",3.481,3.464,0.017
6130,"Proportion Male:",0.435,0.418,0.017
6130,"Mean Age:",19.508,19.508,0
6130,"Mean Weight:",162.157,160.881,1.276
6130,"Mean Height:",67.187,67.154,0.033
6130,"Mean Number of Classes:",3.481,3.464,0.017
6131,"Proportion Male:",0.435,0.418,0.017
6131,"Mean Age:",19.508,19.508,0
6131,"Mean Weight:",162.157,160.886,1.271
6131,"Mean Height:",67.187,67.154,0.033
6131,"Mean Number of Classes:",3.481,3.464,0.017
6132,"Proportion Male:",0.435,0.418,0.017
6132,"Mean Age:",19.508,19.508,0
6132,"Mean Weight:",162.157,160.88,1.277
6132,"Mean Height:",67.187,67.153,0.034
6132,"Mean Number of Classes:",3.481,3.464,0.017
6133,"Proportion Male:",0.435,0.418,0.017
6133,"Mean Age:",19.508,19.508,0
6133,"Mean Weight:",162.157,160.89,1.267
6133,"Mean Height:",67.187,67.154,0.033
6133,"Mean Number of Classes:",3.481,3.464,0.017
6134,"Proportion Male:",0.435,0.418,0.017
6134,"Mean Age:",19.508,19.507,0.001
6134,"Mean Weight:",162.157,160.885,1.272
6134,"Mean Height:",67.187,67.155,0.032
6134,"Mean Number of Classes:",3.481,3.464,0.017
6135,"Proportion Male:",0.435,0.418,0.017
6135,"Mean Age:",19.508,19.507,0.001
6135,"Mean Weight:",162.157,160.89,1.267
6135,"Mean Height:",67.187,67.155,0.032
6135,"Mean Number of Classes:",3.481,3.464,0.017
6136,"Proportion Male:",0.435,0.418,0.017
6136,"Mean Age:",19.508,19.507,0.001
6136,"Mean Weight:",162.157,160.884,1.273
6136,"Mean Height:",67.187,67.156,0.031
6136,"Mean Number of Classes:",3.481,3.464,0.017
6137,"Proportion Male:",0.435,0.418,0.017
6137,"Mean Age:",19.508,19.508,0
6137,"Mean Weight:",162.157,160.886,1.271
6137,"Mean Height:",67.187,67.156,0.031
6137,"Mean Number of Classes:",3.481,3.464,0.017
6138,"Proportion Male:",0.435,0.418,0.017
6138,"Mean Age:",19.508,19.507,0.001
6138,"Mean Weight:",162.157,160.885,1.272
6138,"Mean Height:",67.187,67.155,0.032
6138,"Mean Number of Classes:",3.481,3.464,0.017
6139,"Proportion Male:",0.435,0.418,0.017
6139,"Mean Age:",19.508,19.507,0.001
6139,"Mean Weight:",162.157,160.902,1.255
6139,"Mean Height:",67.187,67.154,0.033
6139,"Mean Number of Classes:",3.481,3.464,0.017
6140,"Proportion Male:",0.435,0.418,0.017
6140,"Mean Age:",19.508,19.507,0.001
6140,"Mean Weight:",162.157,160.905,1.252
6140,"Mean Height:",67.187,67.155,0.032
6140,"Mean Number of Classes:",3.481,3.464,0.017
6141,"Proportion Male:",0.435,0.418,0.017
6141,"Mean Age:",19.508,19.508,0
6141,"Mean Weight:",162.157,160.906,1.251
6141,"Mean Height:",67.187,67.155,0.032
6141,"Mean Number of Classes:",3.481,3.464,0.017
6142,"Proportion Male:",0.435,0.418,0.017
6142,"Mean Age:",19.508,19.508,0
6142,"Mean Weight:",162.157,160.916,1.241
6142,"Mean Height:",67.187,67.155,0.032
6142,"Mean Number of Classes:",3.481,3.463,0.018
6143,"Proportion Male:",0.435,0.418,0.017
6143,"Mean Age:",19.508,19.508,0
6143,"Mean Weight:",162.157,160.912,1.245
6143,"Mean Height:",67.187,67.155,0.032
6143,"Mean Number of Classes:",3.481,3.463,0.018
6144,"Proportion Male:",0.435,0.418,0.017
6144,"Mean Age:",19.508,19.508,0
6144,"Mean Weight:",162.157,160.91,1.247
6144,"Mean Height:",67.187,67.156,0.031
6144,"Mean Number of Classes:",3.481,3.464,0.017
6145,"Proportion Male:",0.435,0.418,0.017
6145,"Mean Age:",19.508,19.508,0
6145,"Mean Weight:",162.157,160.91,1.247
6145,"Mean Height:",67.187,67.155,0.032
6145,"Mean Number of Classes:",3.481,3.463,0.018
6146,"Proportion Male:",0.435,0.418,0.017
6146,"Mean Age:",19.508,19.507,0.001
6146,"Mean Weight:",162.157,160.914,1.243
6146,"Mean Height:",67.187,67.154,0.033
6146,"Mean Number of Classes:",3.481,3.463,0.018
6147,"Proportion Male:",0.435,0.418,0.017
6147,"Mean Age:",19.508,19.507,0.001
6147,"Mean Weight:",162.157,160.903,1.254
6147,"Mean Height:",67.187,67.154,0.033
6147,"Mean Number of Classes:",3.481,3.464,0.017
6148,"Proportion Male:",0.435,0.418,0.017
6148,"Mean Age:",19.508,19.507,0.001
6148,"Mean Weight:",162.157,160.896,1.261
6148,"Mean Height:",67.187,67.153,0.034
6148,"Mean Number of Classes:",3.481,3.464,0.017
6149,"Proportion Male:",0.435,0.418,0.017
6149,"Mean Age:",19.508,19.507,0.001
6149,"Mean Weight:",162.157,160.895,1.262
6149,"Mean Height:",67.187,67.153,0.034
6149,"Mean Number of Classes:",3.481,3.464,0.017
6150,"Proportion Male:",0.435,0.418,0.017
6150,"Mean Age:",19.508,19.507,0.001
6150,"Mean Weight:",162.157,160.894,1.263
6150,"Mean Height:",67.187,67.153,0.034
6150,"Mean Number of Classes:",3.481,3.463,0.018
6151,"Proportion Male:",0.435,0.418,0.017
6151,"Mean Age:",19.508,19.507,0.001
6151,"Mean Weight:",162.157,160.893,1.264
6151,"Mean Height:",67.187,67.153,0.034
6151,"Mean Number of Classes:",3.481,3.464,0.017
6152,"Proportion Male:",0.435,0.418,0.017
6152,"Mean Age:",19.508,19.507,0.001
6152,"Mean Weight:",162.157,160.89,1.267
6152,"Mean Height:",67.187,67.153,0.034
6152,"Mean Number of Classes:",3.481,3.463,0.018
6153,"Proportion Male:",0.435,0.418,0.017
6153,"Mean Age:",19.508,19.508,0
6153,"Mean Weight:",162.157,160.894,1.263
6153,"Mean Height:",67.187,67.153,0.034
6153,"Mean Number of Classes:",3.481,3.464,0.017
6154,"Proportion Male:",0.435,0.417,0.018
